feature	coefficient
DIAG2R151881	0.014338116937588345
DIAG2R145800	0.014224958836128385
MED17252	0.014208848672402843
LOV294	0.014194961068224073
DIAG2R154090	0.01413006696781625
LOV4496	0.014038171377329477
LOV326	0.01376492537886552
DIAG2R204581	0.013696521671006228
DIAG1R186010	0.013602442553731713
DIAG1R182080	0.01354812170672078
DIAG1R134830	0.013461819448575404
RFV316052	-0.013338914443683873
DIAG1R155210	0.013314675852365699
MED11267	0.013273248811406627
LOV5567	0.013206401330298743
DIAG1R198000	0.013165240812083699
VMONTH12	0.012982606998164534
DIAG1R141511	0.012928501076215782
DIAG1R155321	0.012758919732586988
DIAG1R178799	0.012680629050555564
CAD0	-0.012544209247321952
CANCER0	-0.012519931255714599
DIAG1R195840	0.012449594412876918
DIAG2R143491	0.012435495387919219
MED1150	0.01229330655476096
BMP0	-0.012260085993590063
LOV1238	-0.012249610062361221
DIAG2R130520	0.012130121945495915
DIAG1R107989	0.011973305489653915
DIAG2R140190	-0.01195283904964108
DIAG2R125060	0.011900065677593543
DIAG2R124200	0.011871948243963001
LOV1091	0.01186897118167392
DIAG1R125081	0.01172962314433227
DIAG2R142800	0.011541395633826916
DIAG1R157400	0.011504233634259717
DIAG1R159080	0.01149528809262915
MED1254	0.01141978432767225
RFV114200	0.011396167094587599
RFV116702	0.011307596147421722
MED15258	0.011071379159680816
LOV663	0.010967907113953035
DIAG2R141390	0.010948589069905746
RFV326300	0.010927151252382987
DIAG1R164300	0.010894121828041831
SECURCHCKE-8	0.010841590875708225
MED19600	0.010821739401550767
LOV452	0.010792249737180175
DIAG1R157401	0.01078028021653568
DIAG2R171970	0.01067255553732017
BEDCZAR-8	0.010522838843376863
DIAG1R141011	0.010507506354351773
DIAG1R125010	0.010008442452432287
DIAG1R179431	0.009877602888882593
OTHRTEST0	0.009716968157214947
DIAG1R164861	0.00964829275998926
RFV221250	-0.009621113046019716
LOV907	0.009608312478516502
DIAG2R160886	0.009599945110857783
DIAG2R142833	0.00947186705343086
LOV1607	0.009425627559818043
LOV402	0.009405548085446391
LOV1235	0.009327899493001262
RFV250250	0.009327752929243985
RFV361000	0.009282888993171349
DIAG2R156010	0.009202507079231696
LOV499	0.009076403578178153
LOV1385	0.00903440809116256
RFV348000	0.008914000479677985
DIAG1R157450	0.008901849713674428
DIAG1R151881	0.008901335308440781
MED125078	-0.008897304315948776
RFV215653	-0.008890174129107618
RFV233500	0.008884866987229541
LOV778	0.008849757347941778
DIAG1R181611	0.008755925499195622
LOV1355	0.008752796714748354
DIAG2R139890	0.008733590645272682
LOV2949	0.008667092673075489
DIAG1R157500	0.008578383059996898
DIAG1R185120	0.008510863315949312
MED118645	0.008113033528942186
DIAG2R153989	-0.008104901698275052
DIAG2R125010	0.007928445706293403
DIAG1R144324	0.007923928219569594
LOV749	-0.007916763111016882
LOV935	0.007872907577644283
RFV112250	-0.00787075111259723
MED120310	-0.007793243308504439
REGION2	0.007732045860881104
DIAG2R157700	0.007658683931878322
TEMPF938	0.007618315761872051
MED193105	-0.007564787132472683
DIAG2R199590	0.0074515932456422195
PHYSPRACTRIA1	-0.007442241257601526
DIAG2R156721	0.00742009659903575
DIAG1R182440	0.007338457474709639
DIAG1R185220	0.007329748821091394
DIAG1R185400	0.007208467514755508
DIAG2R201552	0.007086221957826621
DIAG1R127669	0.007070816053061504
DIAG2R138610	0.0068472027781345335
LOV714	0.00664455703842025
RFV13D5820	0.00660381838476457
LOV551	0.006489132813497046
LOV862	0.006481609390664543
DIAG1R129560	0.006477167306503835
DIAG1R128262	0.006424368122820446
LOV335	-0.006269005592417369
MED125213	-0.00613905501041364
DIAG1R192130	0.006125357967787917
LOV627	0.0060541178886713955
MED121143	-0.005960618568397385
LOV893	0.00593142571020693
DIAG2R151500	-0.005846195522866186
MED12209	0.005839639288542765
RFV161000	0.005779679340233384
DIAG2R159010	0.005707737723502096
RFV311501	0.00561172668225154
DIAG2R150700	0.005591943695702984
DIAG1R157620	0.005551620931393033
DIAG1R202210	-0.005336505547738569
RFV222100	0.005144594104436474
DIAG2R179439	0.005121785733317484
DIAG1R159990	0.00500339347445746
